edge_type_id target_query source_query dynamics_params weight_sigma afferent_section_pos target_sections model_template is_gap_junction syn_weight weight_function sigma_upper_bound afferent_section_id
100 pop_name=='['PN']'&assembly_id=='0' pop_name=='['PN']'&assembly_id=='0' PN2PN.json 0.8 0.4 NULL AMPA_NMDA_STP NULL 1.0 lognormal_weight 3.0 1
101 pop_name=='['PN']'&assembly_id=='1' pop_name=='['PN']'&assembly_id=='0' PN2PN.json 0.8 0.4 NULL AMPA_NMDA_STP NULL 1.0 lognormal_weight 3.0 1
102 pop_name=='['PN']'&assembly_id=='2' pop_name=='['PN']'&assembly_id=='0' PN2PN.json 0.8 0.4 NULL AMPA_NMDA_STP NULL 1.0 lognormal_weight 3.0 1
103 pop_name=='['PN']'&assembly_id=='0' pop_name=='['PN']'&assembly_id=='1' PN2PN.json 0.8 0.4 NULL AMPA_NMDA_STP NULL 1.0 lognormal_weight 3.0 1
104 pop_name=='['PN']'&assembly_id=='1' pop_name=='['PN']'&assembly_id=='1' PN2PN.json 0.8 0.4 NULL AMPA_NMDA_STP NULL 1.0 lognormal_weight 3.0 1
105 pop_name=='['PN']'&assembly_id=='2' pop_name=='['PN']'&assembly_id=='1' PN2PN.json 0.8 0.4 NULL AMPA_NMDA_STP NULL 1.0 lognormal_weight 3.0 1
106 pop_name=='['PN']'&assembly_id=='0' pop_name=='['PN']'&assembly_id=='2' PN2PN.json 0.8 0.4 NULL AMPA_NMDA_STP NULL 1.0 lognormal_weight 3.0 1
107 pop_name=='['PN']'&assembly_id=='1' pop_name=='['PN']'&assembly_id=='2' PN2PN.json 0.8 0.4 NULL AMPA_NMDA_STP NULL 1.0 lognormal_weight 3.0 1
108 pop_name=='['PN']'&assembly_id=='2' pop_name=='['PN']'&assembly_id=='2' PN2PN.json 0.8 0.4 NULL AMPA_NMDA_STP NULL 1.0 lognormal_weight 3.0 1
109 pop_name=='['FSI']' pop_name=='['FSI']' FSI2FSI.json 0.8 0.5 NULL GABA_AB_STP NULL 1.0 lognormal_weight 3.0 0
110 pop_name=='['LTS']' pop_name=='['LTS']' LTS2LTS.json 0.8 0.5 NULL GABA_AB_STP NULL 1.0 lognormal_weight 3.0 0
111 pop_name=='['LTS']' pop_name=='['FSI']' FSI2LTS.json 0.8 0.5 NULL GABA_AB_STP NULL 1.0 lognormal_weight 3.0 0
112 pop_name=='['FSI']' pop_name=='['LTS']' LTS2FSI.json 0.8 0.5 NULL GABA_AB_STP NULL 1.0 lognormal_weight 3.0 0
113 pop_name=='['FSI']' pop_name=='['PN']' PN2FSI.json 0.8 0.5 NULL AMPA_NMDA_STP NULL 1.0 lognormal_weight 3.0 1
114 pop_name=='['PN']' pop_name=='['FSI']' FSI2PN.json 0.8 0.5 NULL GABA_AB_STP NULL 1.0 lognormal_weight 3.0 0
115 pop_name=='['LTS']' pop_name=='['PN']' PN2LTS.json 0.8 0.5 NULL AMPA_NMDA_STP NULL 1.0 lognormal_weight 3.0 1
116 pop_name=='['PN']' pop_name=='['LTS']' LTS2PN.json 0.8 0.8 NULL GABA_AB_STP NULL 1.0 lognormal_weight 3.0 2
138 pop_name=='FSI' pop_name=='FSI' NULL NULL 0.5 NULL NULL True 6.6e-05 NULL NULL 0
139 pop_name=='LTS' pop_name=='LTS' NULL NULL 0.5 NULL NULL True 0.00076 NULL NULL 0
